start_id,end_id
3037,स्नानम्
35532,राजनैतिकदलम्
32792,उपाधिः
8809,कर्म
31496,पौराणिकस्त्री
7460,आकृतिः
1191,स्त्री
4131,भण्डम्
1957,अंशः
31208,व्याधिः
27443,मानवकृति
23952,राजधानी
24244,राजधानी
30059,रागिणी
15016,आगुः
16102,रागिणी
14681,कर्म
37580,ओषधिः
23313,गन्धर्वः
39932,पदार्थः
11343,मनुष्यः
12860,मनुष्यः
884,तिथिः
36307,दशा
2900,उपासनास्थानम्
38863,मानवकृति
23529,पत्नी
29622,आप्तः
21449,"दिव्यजनः	इस्लामधर्मस्य अनुसारम् अल्लाहस्य दूतः।:""नकीरः तथा च मुनकिरः इत्येतौ दिव्यजनौ गर्तस्थाय शवाय प्रश्नं पृच्छतः।"""
9249,भवनम्
7791,व्यापारिकः
22375,स्थापना
30788,पौराणिकस्त्री
7979,नदी
22353,यक्षः
34509,दशा
30995,समाजशास्त्रम्
30194,दुर्गम्
39232,जाति
24797,पुरम्
23243,क्रीडा
16619,चतुर्थी
6523,हस्ताभूषणम्
1689,अनर्हता
38405,क्रिया
31877,खगः
32092,व्याधिः
38241,अग्रगामी
20839,दशा
17998,वीणा
25833,मण्डलम्
10493,अनुदानम्
6836,खण्डः
7910,पौराणिकस्त्री
4812,मानम्
10886,महाद्वीपम्
23517,पत्नी
4387,सामाजिककार्यम्
33383,नागः
32197,अष्टतालः
25229,पुरम्
11452,क्रिया
27104,राज्यम्
6942,कर्म
2968,क्रिया
10075,क्रीडा
3843,सम्बन्धः
23623,स्थेयपरिषत्
23976,मद्यम्
23083,दुर्गम्
33416,स्वरः
16017,जाति
17977,मनुष्यः
22275,स्त्री
14434,शिरोभूषणम्
27878,पौराणिकपुरुषः
1186,जलयान-उपकरणम्
14961,पौराणिकस्त्री
23280,व्याधिः
3175,तृणम्
37418,युथः
36584,देवः
6801,नक्षत्रम्
5799,खण्डः
26145,मण्डलम्
24488,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
10055,कालः
3462,खाद्यफलम्
3856,क्रिया
1630,साहित्य-कृतिः
3649,सञ्चारः
21826,पौराणिकपुरुषः
39850,परीक्षा
5855,पोली
31716,क्रिया
40077,पार्श्वः
26267,पौराणिकपुरुषः
25086,पुरम्
34501,राजनैतिकदलम्
6305,ज्ञानम्
29343,पौराणिकपुरुषः
6295,पौराणिकपुरुषः
11277,लग्नम्
723,समापनम्
39856,सर्वेक्षकम्
35056,दशा
9669,जाति
5862,शाकम्
33248,दिग्गजः
7364,मनुष्यः
492,पटम्
15064,पदार्थः
31169,प्रच्छदपटः
7842,मनुष्यः
8043,युथः
25811,पुरम्
4513,उपकरणम्
3717,वृक्षः
34810,कर्म
26129,मण्डलम्
25237,मण्डलम्
38392,कर्म
16861,कण्ठाभूषणम्
3185,क्षारद्रवः
6324,कर्म
21257,आम्रः
149,कर्म
13533,अन्नम्
22987,पुरम्
19940,दशा
11676,मनुष्यः
21038,मुद्रा
13597,कविः
8230,प्राकृतिकवस्तु
32218,शिवमूर्तिः
7289,मन्त्र
3479,मनुष्यः
22621,ग्रैवेयम्
6723,अन्नम्
5897,जलीयपादपः
34348,कलाकारः
21690,आम्रम्
186,वाद्यम्
26803,आदित्यः
31523,कुरुवंशी
7889,क्रिया
26649,पौराणिकपुरुषः
9128,तुलिका
34717,यन्त्रम्
32649,शिल्पी
25784,पुरम्
7291,सेवा
26116,मण्डलम्
7724,शारीरिकद्रवः
31160,वृत्तम्
3348,मनुष्यः
31557,अनुपलब्धिः
397,वाद्यम्
32772,सर्पः
9836,गेह्यखगः
25884,पुरम्
29227,कर्म
23898,नेत्ररोगः
