id,lemma,pos
1578,खाद्यमांसम्,noun
5616,प्रश्नः,noun
9475,पृच्छा,noun
25889,हरिद्वारमण्डलम्,noun
8193,पतिव्रता,noun
1636,करजम्,noun
503,बाह्य-शारीरिक-भागः,noun
31868,सुशान्तिः,noun
26571,दिखुनदी,noun
31427,विच्छेदनम्,noun
30237,बाजबहादुरः,noun
2742,शासकः,noun
26196,सुप्रिया,noun
21769,खो-खो-क्रीडा,noun
40656,कलरवः,noun
8402,स्वरः,noun
22730,कुसुम्भः,noun
25101,नादियामण्डलम्,noun
25965,गोपालगञ्जमण्डलम्,noun
33187,अन्धकूपः,noun
4384,कूपः,noun
6735,तुण्डम्,noun
21637,कैसीपुरा-आम्रम्,noun
11820,छन्दः,noun
24814,विनायकदामोदरसावरकरमहोदयः,noun
18479,स्वातंत्र्यसैनिकः,noun
22336,विद्वेषिणी,noun
22630,"विद्युल्लेखा	एकं छन्दः।:""विद्युल्लेखायाः प्रतिचरणे द्वौ मगणौ भवतः।""",noun
4076,जनः,noun
2511,लवणितम्,noun
1851,विमातृजः,noun
81,भ्राता,noun
23402,वनकुक्कुटः,noun
609,पद्मकन्दः,noun
2020,मूलम्,noun
3373,पुत्रः,noun
3645,अपत्यम्,noun
31761,अवहित्था,noun
23420,शालनिर्यासः,noun
7800,रसः,noun
22267,महादैत्यः,noun
8463,स्थानान्तरणम्,noun
8418,हरिजनः,noun
40061,अभिनन्दनपत्रम्,noun
11160,पत्रम्,noun
35936,कायनिर्माणम्,noun
11400,युगम्,noun
24508,एकाधिपतिः,noun
10685,भोजनपङ्क्तिः,noun
12257,बैसाखीः,noun
185,उत्सवः,noun
31864,अजमीढः,noun
19506,तिनिशः,noun
3429,प्रतिज्ञा,noun
30815,दुर्मुखः,noun
1429,चेतनजगत्,noun
1427,संसारः,noun
446,सामर्थ्यम्,noun
30293,प्रतिभूतिः,noun
3051,धनम्,noun
31637,अवरोहः,noun
22174,काव्यालङ्कारः,noun
23712,लोकतन्त्रीयः,noun
780,श्रावणः,noun
913,चान्द्रमासः,noun
